,text,friend_count,level_b,RT,length
33, <user>: The UP police has been raiding localities of old Lucknow like Husainabad that has majority Muslim population. Roughing up,547,0,1,20
34, <user>: Abuse of power and rape of girls by UN soldiers in Haiti continues without justice. https://t.co/PeGVj7OQ2C,161,0,1,17
35, <user>: Did they grab you by the Pussy? https://t.co/rtwvpZOQCO,4992,0,1,9
36," <user>: Proving AGAIN, why Adam Schiff is the dirtiest, most immoral snake  in the swamp. This man is a stain on the country &amp",215,0,1,24
37,Japanese immigration center evil officials abuse foreigners!!! HumanRights  Japan HumanRightsViolations,363,0,0,10
38, <user>: men get really hot and bothered while sexting and im just laughing and eating macaroni lmao,365,0,1,17
39, <user>: yall gotta stop letting twitter bully you out of your opinions lmfaooooo,103,0,1,13
40,good fucking bye i thought this was my mom,309,0,0,9
41,"<user> we love u, u are beautiful person and good singer, I am glad that my fav as worked with u, we love Jan, we… https://t.co/rdbRhgBLIg",35,0,0,26
42,"I like Dorks who don't steal contributions from stupid democratic voters, but then I did something about it. Ugly https://t.co/fq36mAn0cy",1066,0,0,20
43," <user>: If its about typhoid , then behave appropriately na , all the energy in the world to fight , all the energy to abuse ",11,0,1,25
44," <user>: Look lady, I'm having a really hard time sexting your husband while you force him to make Christmas cookies.",2081,0,1,20
45," <user>: it wasn't just the physical violence; what the students remembered even more vividly was the verbal abuse, the obscenities.",181,0,1,20
46," <user>: chanyeol struggling to strip suho's shirt, and sehun smiling cutely while other members bullying suho https://t.co/aIwlc…",224,0,1,17
47," <user>: <num>.<num> TST HongKong: plainclothes Police bullied a teenage girl, when she cried, cops shouted at her ""keep acting!""",154,0,1,19
48, <user>: Cry Bullies https://t.co/RjP0G0SCh7,146,0,1,4
49,"Kindle Deal until Dec <num>! TREE OF LIVES, the award-winning true story of a remarkable woman's survival from familic https://t.co/56z2c3rihK",208963,0,0,20
50, <user>: where I learned most white people are complacent bystanders in racism if not active participants (there are exceptions…,620,0,1,19
51,<user> Go to HR file harassment if dumb reason. Tell them your hiring a lawyer.  At least write a letter for… https://t.co/vHda4ldUWH,1330,0,0,22
52,"We are Partners Against Child Trafficking. Our top priority is prevention. We do this by uniting communities, preve… https://t.co/Kk4nkhSYRi",2426,0,0,19
53," <user>: These are the other people, along with <user>, who bullied Stephanie Soo. Hold them accountable for their behav…",122,0,1,19
54,Like. These movies not even good enough for y'all to be bullying the actresses over,212,0,0,15
55, <user>: Kids these days wouldnt last a week getting roasted at a public HS lunch table https://t.co/eTrn80GZbN,1216,0,1,17
56,a well traveled mta card (not mine i wouldn't abuse it like that) https://t.co/LGkYyLuaBx,467,0,0,14
57, <user>: when that kpop group said they are against bullying but none of their fanbase actually understand the meaning https://t.co…,374,0,1,20
58," <user>: a little introduction to my dads:

gay &amp; married, together for <num>+yrs, adopted <num> children from cambodia before marriage",3408,0,1,20
59, <user>: Are you a mom who's survived abuse or domesticviolenceand need some help making sure your kids don't continue the cycle,10538,0,1,21
60, <user>: The holiday shopping season is the most dangerous time of the year for Amazon warehouse workers. They suffer twice the injury,1638,0,1,22
61," <user>: <user> My problems are:
<num>. Poem says ""Idols will be removed, only Allah will rule"".
<num>. Writer chose Pak in <num> as he",4212,0,1,24
62," <user>: BREAKING NEWS
Hey FUKKIN tuff guy, you need to be confronted head-on. Wanna play in my sandbox, AC Beach? Come get it!",4781,0,1,23
63,<user> <user> <user> The girl had a drink poured over her in public. Where was here protect… https://t.co/5S7bddGR0U,2566,0,0,18
64," <user>: Evidence keeps piling up. Trump was directly involved, aid was formally withheld right after the call, AND they knew it",126,0,1,21
65,"<user> <user> Fun new game called ""Bully the Bully"" How do you play? Go to Tacoma Wa. Craigslist, post A… https://t.co/PCVwbWDDOq",9,0,0,21
66," <user>: This is really disturbing from <user> on HIGNFY 

As minorities face rising abuse and violence every day the B…",472,0,1,20
67," <user>: after today's episode, i got clarity on Shefali zariwala,the way she was bullying n back biting abt Asim, i regret supportin…",25,0,1,22
68,"<user> <user> <user> <user> <user> ""Give a little"".

She is literally advocating… https://t.co/gLnmNOsQOr",4913,0,0,13
69," <user>: The allegations surrounding seclusion and restraint in D.C. schools are disturbing, and hard to summarize. The techniques ar…",1103,0,1,19
70,Scientology cult Religion  ScientologytheAftermath Cienciologia  <user> <user> <user>   Judges… https://t.co/75jpHfjlMt,1114,0,0,10
71,<user> They need counselors well versed in social media to help kids deal with issues like cyber bullying and coping skills!,161,0,0,21
72," <user>: .<user> is an ignorant, lying, sexist, racist, xenophobic homophobe who mocks disabled people, attacks the Pope,…",257,0,1,17
73," <user>: SEXUAL HARASSMENT AND ASSAULT ALLEGATIONS SHOULD BE TAKEN SERIOUSLY IN SCHOOL
SEXUAL HARASSMENT AND ASSAULT ALLEGATION…",776,0,1,17
74,<user> WHY U BULLYING ME LIKE THIS 😭😭😭,265,0,0,8
75, <user>: I have a smart ass mouth and if you’re extra sensitive you gonna think Ima bully lmao,724,0,1,18
76, <user>: This pattern of abuse at <user> &amp; <user> makes me angry. If you expect law enforcement to be non-partisan and faithf…,303,0,1,22
77," <user>: What a stunning and scary abuse of power. ""To protect Mueller."" How many others in the FBI are spying on their neighbors? No…",853,0,1,24
78,<user> <user> <user> Free speech for every1.  If u haven't actually listened <num> Nick...just other… https://t.co/xffz5KWa54,1311,0,0,16
79, <user>: Northumberland: Shocking images show the extent of abuse a neglected dog suffered at the hands of her cruel owners. Ho…,287,0,1,21
80, <user>: Let's have it proper! <user> have driven this abuse against Arsenal Fan TV because they're jealous. And now people'…,2273,0,1,20
81," <user>: Nancy Pelosi is demanding the United States Senate play by her rules, or else she will not send over the articles of i…",2540,0,1,24
82," <user>: ♠️ Aces can be any age
♠️ Facing abuse means you still have the right to label as whatever you want
♠️ If a word has valu…",127,0,1,28
83,<user> stop bullying those boys! Td and over <num> receiving in the first qtr... 😮😮,2929,0,0,15
84, <user>: <user> When your policies SUCK &amp; you cant win at the ballot box abuse your majority power to impeach your polit…,64144,0,1,22
85, <user>: Ken Loach blames Labour’s defeat on media &amp; Labour backbenchers: “No other Lab leader has had the abuse that <user>…,1534,0,1,21
86,"<user> This week I finally quit the job I’ve had for <num> years—<num>, I loved, &amp; the last <num> under an abusive leade… https://t.co/IkUfvnzEBO",133,0,0,24
87," <user>: Evidence keeps piling up. Trump was directly involved, aid was formally withheld right after the call, AND they knew it…",1993,0,1,21
88, <user>: Kids these days wouldn’t last a week getting roasted at a public HS lunch table https://t.co/eTrn80GZbN,408,0,1,17
89, <user>: y’all gotta stop letting twitter bully you out of your opinions lmfaooooo,133,0,1,13
90," <user>: ""not all armys"" but definitely the <num>.7k who liked this tweet. https://t.co/Fks5Gwg2qV",899,0,1,13
91," <user>: Q Drops that mention Admiral Rogers!!

Important to read and understand.
Something BIG is coming.
Q
https://t.co/YWQreAbnX…",7997,0,1,18
92," <user>: <num>.<num> TST HongKong: plainclothes Police bullied a teenage girl, &amp; when she cried, cops shouted at her “keep acting! Bes…",411,0,1,21
93,<user> 21k followers. <num> like. By the way. CC was removed because she violated the Twitter TOS regarding harassment.,158,0,0,19
94,<user> someone need to attach the million SS of the * fandom bullying people online under that post,307,0,0,18
95," <user>: If it’s about typhoid , then behave appropriately na , all the energy in the world to fight , all the energy to abuse , a…",3,0,1,27
96, <user>: my neighbors starve and abuse their two dogs and I just witnessed them trying to dump them and abandon them. I have a newborn…,32,0,1,25
97,"<user> Fun new game called ""Bully the Bully"" How do you play? Go to Tacoma Wa. Craigslist, post ANYWHERE w… https://t.co/LPPkUXFifG",9,0,0,21
98,I was gonna call the police for abuse.,122,0,0,8
99, <user>: This isn’t who we are. https://t.co/mc5fo0SKAi,323,0,1,7
100,"Kindle Deal until Dec <num>! TREE OF LIVES, the award-winning true story of a remarkable woman's survival from familic… https://t.co/dWC3COLPGy",186461,0,0,20
101,mfs be heated bc you weren’t bullied for liking anime in school,652,0,0,12
102," <user>: it wasn’t just the physical violence; what the students remembered even more vividly was the verbal abuse, the obscenities, t…",649,0,1,21
103,<user> <user> Better people than him have been expelled on the whim of the PLP but his arrogant abus… https://t.co/JwUKG3aYPa,4270,0,0,20
104," <user>: No. 
Your caricaturing of him as racist, sexist and homophobic led people who are used to being vilified in those term…",1954,0,1,22
105," <user>: Nancy Pelosi won’t send the articles of impeachment to the senate until she knows how the trial is laid out.

Wow.

Tha…",4304,0,1,23
106," <user>: Does your religion or faith have any ground to stand on?

If the only way to protect &amp; defend it is by bullying, shunning,…",495,0,1,25
107,"watching porn video/sexting in the middle of a family gathering: ...
hearing Osiris say ""bring the sky down upon th… https://t.co/PbYelxmCQs",1837,0,0,21
108," <user>: Tonight, <user> sheds light on serious issue of H-1B visa abuse. Top recipients of H-1B visas are companies that shi…",11,0,1,21
109,you are all so vile to lizzo and its obvious that its bc shes black and not skinny and then turn around and preach… https://t.co/N90Emfms9o,183,0,0,25
110,"<user> <user> nah, he deffo was bullying me or something cos wow",782,0,0,12
111,HMBLNRRADIO is ON AIR now.. Tune In Now! Click Here to Listen ⁠HMBLNR RADIO - Free Internet Radio -… https://t.co/HVm1uErLjD,6,0,0,20
112," <user>: The investigation reveals more than <num> allegations of sexual assault or abuse, inadequate medical care, regular hunger strik…",592,0,1,19
113, <user>: Congrats on your TRP’s! <user> <user> <user> <user> It only costed you the price of credibili…,15,0,1,17
114, <user>: We have been able to obtain the details and address of this violent woman and this child abuse will not go unpunished. <user>…,5833,0,1,24
115, <user>: since we’re talking about stephanie soo and nikocado avocado bullying her know these names too https://t.co/rmXRjJok5K,233,0,1,17
116, <user>: People hate Justin Bieber because he moved on from a toxic relationship that was going no where. People send him hate becaus…,29551,0,1,23
117, <user>: You can be a minority and still be a bully. And it is ok to point out that a lot of trans activism has taken a sinister…,171,0,1,28
118," <user>: The investigation revealed more than <num> allegations of sexual assault or abuse, more than <num> instances of physical abuse, m…",570,0,1,21
119," <user>: Woke dudes &amp; dudettes trying to patronize me, know that I'm evolved enough to make a fair judgement. I don't abuse you…",952,0,1,23
120, <user>: Y’all talk about Trump abusing power.... I remember when Michelle Obama cut me down to <num> chicken tenders in middle sch…,293,0,1,22
121,<user> You charge can cancellation fees when customer cancels order; then why not refund in case of delay; th… https://t.co/P833zcNLUs,96,0,0,20
122,"Yes, because you know every single bullying experience that has ever existed.

You are the arbiter of everyones chi… https://t.co/MpIERyBA32",694,0,0,20
123,"Imagine being in a AIM chat room, or XBOX live COD with a mic. Lmao. Soft ass kids",1273,0,0,18
124, <user>: Madam you please give me a certificate please https://t.co/p2Iu6DYalv,29,0,1,10
125, <user>: Cruelty is.  Caging children.  Being a racist. Stealing from the poor to give to the rich.  Lying.  Covering up his own sex…,685,0,1,23
126," <user>: I’m saying this ONCE, bts does NOT have an anti bullying campaign. The ENDViolence camping is about protecting children f…",216,0,1,21
127," <user>: <num> signs you have a good partner:

<num>. They handle conflict maturely

Name calling, gaslighting, ridiculing, and physical abuse…",576,0,1,20
128, <user>: Swifty Blue ft. Teezy &amp; Da Bully - “Trenches Pt. <num>” (prod. by us &amp; <user> ) https://t.co/15UAXxkRRv,658,0,1,19
129,YOURE SUCH A BULLY 😠😠,345,0,0,5
130," <user>: The first step to stop bullying? Kindness.

Join <user> and show you care 💜

👉 Leave a kind note for someone - online or IRL…",149,0,1,26
131, <user>: <user> 😭😭😭😭 stop bullying me tf,1538,0,1,7
132," <user>: 3rd degree arson in violation of individual rights, hate crime, 3rd degree harassment, and habitual offender, which allowed t…",459,0,1,20
133, <user>: Arsenal Eliminated Ozil from match vs Everton After being pressured from fuckin Chinese because he standing with Muslims the…,217,0,1,20
134," <user>: bend me over, pull my hair, choke me, &amp; make me scream 😜submissive cumtribute wanktribute nudes cumwhore cumslut…",151,0,1,19
135, <user>: I like presidents who weren’t impeached for abuse of power and obstruction.,112,0,1,13
136," <user>: We should stop calling them ""Pro-Trump"" rallies. 

We should call them ""Pro-Nationalism, White Supremacy, Homophobia, Tr…",65,0,1,17
137, <user>: He is the worst swamp dweller in D.C.😡LiberalismIsAMentalDisorder FakeImpeachmentHoax KAG2020Landslide https://t.co/…,2241,0,1,12
138," <user>: happened 
If you get to see this my guy kudos to you
Bring your army as you have threatened to

Say no to abuse we have lo…",1221,0,1,28
139, <user>: the jin clan at every minor inconvenience: https://t.co/PZQcqsaa0H,410,0,1,9
140," <user>: Q3738
NSA Director Rogers Disclosed FISA Abuse Days After Page Warrant Was Issued.
💥Something BIG is coming.
Q
AG Lynch &amp; Dep…",1299,0,1,23
141," <user>: Reason <num> to renewannewithane: Bullying. Bullying is an issue all of us face growing up, but most shows depict it as a nor…",112,0,1,24
142, <user>: Anyone else getting a huge amount of MAGA/bot activity since the impeachment?  I am under siege. I think there is a conce…,3797,0,1,23
143,"<user> <user> Fun new game called ""Bully the Bully"" How do you play? Go to Tacoma Wa. Craigslist, post ANYWHERE… https://t.co/29lILgeGQS",9,0,0,21
144," <user>: The Republican Party under Trump:  ballooning deficits and unending trade wars, allying with authoritarian regimes, disint…",4703,0,1,17
145," <user>: Q Wants this Circulated.
Do your thing Patriots! 😉
https://t.co/cAXwz0lRP9",4533,0,1,11
146, <user>: an abuser decided to release his trashy album the same time as the girl he used to abuse for <num> years. think about it and th…,936,0,1,27
147,"The 'hard' left (for lack of a better term) obviously don't, as they're revolutionaries/utopians. Any one dissenter… https://t.co/zK5HGxNQCq",148,0,0,18
148, <user>: clairo getting brave sitting out here bullying halsey like this https://t.co/YPLTSqaL6j,707,0,1,12
149, <user>: BeBestBy calling out this type of bullying coming from your own household .. then we might pay attention to what you have…,4995,0,1,23
150,I can attest to every single one of these examples.,2211,0,0,10
151," <user>: This is ridiculous!

Schiff is the biggest liar in the history of American politics!

And that's saying something!

Check o…",23999,0,1,21
152,<user> That sounds awful,1677,0,0,4
153, <user>: I look stupid on videos and I look hideous on pictures. Yep that's a sad reality.,146,0,1,17
154,<user> I would be so blue if somebody told me I was shitty🥴🤦🏽‍♀️,579,0,0,13
155, <user>: Now The Democrats are out of ammo. Just like a movie when the bad guy runs out of bullets. <user> https://t.co/p…,3914,0,1,22
156, <user>: I wanted RNB to happen so bad. https://t.co/gatdwPqQqf,607,0,1,9
157, <user>: First I think sana should b in top <num> now I changed my mind she should b winner of bigboss .felling bad for sana .. Sid pls…,1,0,1,28
158,this season has been stupid crazy 😳,376,0,0,7
159," <user>: Women will make the difference in the <num> Election - one way or the other.

Truth is - If voters, especially females go…",1011,0,1,24
160,"<user> <user> In the early 90s when NYPD actively arrested fare-beaters, <num> in <num> had an outstanding warrant a… https://t.co/tVrALHR8wn",315,0,0,20
161,"<user> <user> She isn't talking about honest criticism, she is talking about that shitty article saying that t… https://t.co/lROBC8Ewwo",1350,0,0,19
162,Transfer + Portal = Bad idea the day I heard about it.,28,0,0,12
163,When a good thing goes bad it’s not the end of the world it’s just the end of a world,242,0,0,20
164," <user>: twitter is <num>% the hardest platform to gain followers on 

u either have to be genuinely funny, stupid hot, or steal twe…",25,0,1,23
165,<user> brooo i didn’t know you had a second account. i thought u was sum weirdo lmao my bad,51,0,0,19
166,<user> I’m willing to relocate and do whatever you need Ma’am,832,0,0,11
167, <user>: my bad bro https://t.co/qBCEKlbu9N,391,0,1,5
168,Thing about Goff is once he throw a pick he starts to play bad and the play calling changes drastically.,682,0,0,20
169,signed up for an AM cycling class. hope i can burn the memories of those who have betrayed me as well as the chicke… https://t.co/gyqgIMtIWs,415,0,0,25
170, <user>: The White House is trying to make some stupid argument that trump isn't officially impeached until the articles have been s…,10494,0,1,22
171,Newsome doesn’t take accountability or responsibility for the demise of his state...fair housing market is on a sta… https://t.co/thw1YzLgu2,859,0,0,19
172,"Thanks for technology there's such ridiculous evidence- Republican sentiment seems to be, ""we condone corruption an… https://t.co/hDMVaf4cl9",273,0,0,17
173, <user>: My brain trying to stop me from saying something stupid: https://t.co/Pa0pdV0vOZ,1701,0,1,12
174, <user>: A bad hair day.. https://t.co/bgOpL5Ai3X,376,0,1,6
175,Started playing Witcher <num> Wild Hunt. It's not that bad of a game also my Profile picture is the best it describes me everyday.,61,0,0,24
176," <user>: HEY AUNTIE NANCY

YOU REFUSE TO TURN OVER THE DOCS UNLESS YOU GET A GUARANTEE FOR WHAT YOU WANT

THAT MADAME SPEAKER IS A…",1162,0,1,25
177," <user>: The pathetic 'Sack Rachel Riley' hashtag is sickening, she has just had a baby daughter, and just because she has call…",595,0,1,22
178, <user>: soooo I was locked out of my Twitter for over <num> HOURS because of THIS tweet ...out of all my messy tweets this was the one…,894,0,1,27
179, <user>: If there was any other person IN Asim's place he would have beaten both Paras n Shukla.What dey said to Asim was BELOW D BEL…,1603,0,1,26
180,<user> <user> <user> I am more and more worried that the power hungry <user> can go to any e… https://t.co/tr1igNHTNQ,228,0,0,20
181," <user>: imagine coming at exo vocals, saying it’s bad and they always lipsync when they did a whole CMB LIVE in front of JYP with onl…",183,0,1,26
182, <user>: Translation: damn these uncles ain’t too bad yo https://t.co/anWRY1I3OD,428,0,1,10
183," <user>: Rapid learning requires a high tolerance for looking stupid.

The path to answers begins with the admission that we do…",2757,0,1,21
184, <user>: Neighbours phoned police on Stormzy for entering his own house and you’re perplexed as to why he thinks there’s racism in…,533,0,1,22
185,The primary officer speaking and handling this call did a spectacular job of keeping calm and clear and handling th… https://t.co/UTUoGlu4IO,2033,0,0,21
186, <user>: See ehn booty rub won't be bad right now oh😩 I'm tired,1873,0,1,13
187, <user>: sometimes i want a dom to call me a pretty little girl and ask me to come sit on their lap and give me head pats and coo at m…,118,0,1,31
188,<user> Big win over bad team. Bet the over .<num> teams,836,0,0,11
189,<user> McCauley stepping up in the obliviously stupid in the absence of Tim Peel. The NHL officials shitty ca… https://t.co/XlmunPHkAu,129,0,0,20
190,I feel bad for whoever hasn't tried this yet,124,0,0,9
191, <user>: This angle is even crazier... Handles are RIDICULOUS https://t.co/951wGlWpZB,244,0,1,10
192,<user> Have you not learned by now that I'm a dumb motherfucker?,70,0,0,12
193, <user>: I think this is an unfair judgment of a teenage kid after the biggest game of his young life.  I know there are many “<num> s…,4175,0,1,27
194, <user>: jungwoo bad bitch https://t.co/nPaAciULqG,261,0,1,5
195, <user>: Yet again... I learn more on how to survive life from Twitter https://t.co/prEdWfCD1q,572,0,1,14
196, <user>: person who has never touched a snake: Snakes r the scariest animals!! They are so aggressive and gross and slimey???? And…,789,0,1,22
197,"I’ve decided, based on all of your bad behavior, that I should be the last hetero standing.",316,0,0,17
198,"So now you really better check yourself
Messin' with my girl is bad for your health",483,0,0,16
199,<user> What's so bad about what they did? I'm confused. They made fake beef amongst each other. So what?,994,0,0,19
200," <user>: Completely disagree with u ! Yes someone is unwell , they could also not instigate back,they can be humble n nice too , o…",33,0,1,25
201, <user>: implementing a <num> strike system with my reply guys ❤️ <num> awful/annoying replies and you will be muted ❤️ so then you can only si…,133,0,1,26
202,<user> it would be dumb to get rid of a main character yk?,522,0,0,13
203, <user>: <user> <user> No morons. That was GW Bush. He signed the law in <num> BEFORE Obama was elected. You really…,603,0,1,21
204," <user>: If a person you just meet doesn’t mind you farting in front of them, truly a beautiful friendship has begun. Featuring: <user>…",219,0,1,23
205, <user>: Deku gets so come drunk on alpha Kacchan's knot. He has to hold the omega up against his chest so the comforter doesn't suff…,55,0,1,25
206," <user>: Rudy knows something and they are after him‼

The Democrats are nasty people involved with criminals, they are the enem…",10099,0,1,21
207,"MAGAts are way too stupid to know. 

👉🏻👉🏻DONALD TRUMP IS IMPEACHED👈🏻👈🏻

The senate is to decide to <num>) convict him a… https://t.co/kCRKiywdBL",848,0,0,22
208,"Bitch, wana be so bad . I get it but please stop trying",103,0,0,13
209,"TheExpanse402 live watching
.
.
Coop is awesome- Holden-Ried does a great job inhabiting the disgruntled OPA belte… https://t.co/bYYfmn3KCE",415,0,0,19
210, <user>: <user> Galley is soooooo frigging bad!!!!,1833,0,1,7
211,Me? Childish? Probably.,1572,0,0,3
212,"<user> Present it however you like, but they've backed themselves into a corner where, if they don't get Ryu, t… https://t.co/nMYQTWnGER",120,0,0,21
213, <user>: Now why is this dumb bitch using a walker https://t.co/68JPman2Jm,126,0,1,11
214," <user>: Robert De Niro bought prostitutes, laundered money &amp; is a drug addict who threatened VIOLENCE against Trump

No wonder the left…",5174,0,1,22
215,am I the only person that don’t know wtf BBL is?,386,0,0,11
216,"<user> ""Please call me Yang, Miss Xiao Long makes me feel my age. 

And yes, just seeing how I was stupid enough… https://t.co/S8s4kigupt",728,0,0,23
217," <user>: PSA: Can everyone take a second to report all <num> of these tweets for doxxing. It is illegal &amp; counts as harrassment, it has n…",1218,0,1,26
218,<user> <user> <user> <user> <user> Because you can't disprove something that's nev… https://t.co/7S9MFskkFp,529,0,0,13
219," <user>: Awful, misleading headline.

The guy STOLE the flag from a church, set fire to it out outside a club, and then threatened…",738,0,1,23
220," <user>: Mantha and Muzzin scrumming. Muzzin grabbed Mantha's face, swept his leg, and threw him backwards onto the ice. Mantha hit…",140,0,1,21
221,"This is so fucking disgusting. Who raised you? This girl has cancer, you don’t make comments like this just because… https://t.co/1atawJjVEi",237,0,0,21
222, <user>: It’s been <num> days since the House voted on Articles of Impeachment and <user> still hasn’t sent the them to the S…,612,0,1,23
223,<user> <user> You literally refused to organize with MLs because someone made a bad joke. It's gross.,216,0,0,17
224, <user>: This is so dumb but fucking hilarious lmao https://t.co/avNZjK9XMI,335,0,1,10
225,"<user> Bad Guy-Billie Eilish 
Black Dress- CLC
Bomb Bomb- KARD
Volume Back - Alok e Liu
Bang Bang - Jessie j… https://t.co/1ziFsi0l7c",964,0,0,22
226,<user> I honestly didn’t even know it grew to be this bad and still go on until now :/,615,0,0,19
227, <user>: iridescence STILL SLAPS and anyone that say different got a bad haircut,504,0,1,13
228," <user>: Hollywood is ridiculous. In the new Amazon series, Jack Ryan, socialism isn’t the cause of Venezuela’s troubles—it’s natio…",177,0,1,19
229,i wanna post so bad but y’all will let me flop so...,71,0,0,12
230," <user>: This shit is so stupid, but it keeps coming up. We pronounce things the way they're pronounced here.

Do you pronounce De…",680,0,1,23
231," <user>: Also, Ben Shapiro is an antisemite who went on a Nazi podcast to demonize ""Hollywood Jews"" who he said were trying to destro…",824,0,1,24
232, <user>: In case you are accused of virtual signaling and have no clue where they dreamed that up from. (Probably the same place…,92,0,1,23
233,"<user> <user> <user> <num>) Why is anything good a mirage but anything bad is the norm? 
<num>) Last y… https://t.co/oOj9EG15U7",3277,0,0,20
234,My clip - Upskirt flashing with cheeky Santa Bad Dolly smoking More 120s HD just sold! https://t.co/LlyCWdUfkc… https://t.co/lOqJdHSuzq,471,0,0,17
235," <user>: Just need another $<num> for the nearly-new tires for the van, that came with some really bad front tires.
https://t.co/4vbkkpnl…",4853,0,1,21
236," <user>: WOMEN 👏🏼 WHO 👏🏼 DON'T 👏🏼 WANT 👏🏼 KIDS 👏🏼
• aren't selfish
• are not less of a woman
• aren't immature 
• won’t necessar…",169,0,1,27
237,pov you tell me my grammar is bad and i fall asleep on your back,24,0,0,15
238," <user>: <user> <user> I've more than once asked pro-prohibitionists ""Is the reason you don't do heroin and meth that th…",424,0,1,20
239," <user>: HOW IS THE CIRCLE GAME HOMOPHOBIC NOW

I'M GONNA HAVE AN ANYURISM

STOP LYING FOR WOKE POINTS. PLEASE. https://t.co/Jth…",515,0,1,20
240, <user>: I agree. It’s ridiculous that someone can get charged for lying to Congress yet Congressman can not get charged for lying…,18796,0,1,22
241,oomf that liked this onto my tl bout dumb asf,2263,0,0,10
242, <user>: So I posted this picture of me on my Instagram and this is the DM I get? Disgusting. https://t.co/Elw7MTzBw2,4829,0,1,20
243," <user>: Husband talked a <num>-year-old, sobbing Trinity student down from jumping into the Liffey last night. If you're coming hom…",233,0,1,20
244,Roddy said it best.. I felt this <user>,468,0,0,8
245," <user>: Exactly how people should treat him. 

<num> has had people kiss his ass his entire life. He doesn’t know how to handle th…",30,0,1,24
246," <user>: <user> Here are a few realities:  
<user>  in office <num> yrs
<user> in office <num> yrs
<user> in o…",3590,0,1,20
